Author,Comment Text
@Annasupermom12345," @arnnerone4819  Do you know what “simple minds” actually do?
They resort to insults when faced with disagreement. They avoid substance, dodge specifics, and replace reasoning with name-calling. Simple minds also tend to fall into cult-like politics. Have you actually looked at the work experience of the People Party’s candidates? 

Aren’t Thanathorn and Pita also heavily sugar-coated by branding? In Pita’s case, there have been publicly reported legal and personal disputes involving his wife, which many voters understandably consider when assessing leadership and judgment. These are not rumors, they entered public discourse and legal processes, and people are entitled to factor them into trust.

For Thanathorn, concerns raised by many Thais are not about his family origin (even though his ethnicity is 100% Chinese and his parents migrated to Thailand relatively recently), but about values and alignment with national interests. When there are reports (Bloomberg) about major Thai industrial assets potentially being sold to foreign interests, or repeated rhetoric perceived as dismissive toward the military and national history, it raises legitimate questions about priorities and sensitivity to Thailand’s historical and security context.

None of this is about hatred or exclusion. It’s about whether someone seeking national leadership understands, respects, and prioritizes the country they want to govern, its institutions, its history, and the people who have safeguarded it.

And seriously, Mai Sirikanya as Minister of Commerce? That’s like putting an intern in charge of chaos control. Being a researcher at TDRI is acceptable, but it’s not comparable to running global enterprises.

Contrast that with DPM Supagee, former MD at IBM, former CEO of Thaicom, Forbes Asia’s Power Businesswomen, Bangkok Post’s Best CEO. 

Or Khun Eakniti, who has worked with global financial institutions such as World Bank in Washington D.C. representing Southeast Asia constituency Chair & board roles in major Thai financial and state enterprises, including: TMB Thanachart Bank (TTB), Bank of Krungthai, PTT Exploration & Production (PTTEP), National Credit Bureau.

People capable of intellectual discussion don’t need to belittle others. They engage, challenge ideas, and defend their views with logic and evidence.

If you want a real discussion, bring depth. If all you have are insults, go get yourself some education."
@usermumimumiii,"I think Cambodia is worse. They've had the same prime minister for 40 years, but the country hasn't developed."
@Chris-tm4zq,"Thailand is a free and independent country It has never been rule, control or been colonized by any foreign power. Not like Claimbodia. Who will always be beneath the French. And loves to listen and follow that idiot Hun Sen"
@pattanapichaisaensingreeki959,Never ever
@Joew620,"indeed corrupted, but in the end people’s power will win"
@lovedocomo,"Only the People's Party can make Thailand prosperous and decisively combat corruption. The party's goal is for the people's power to be supreme, preventing the military, capitalists, and the elite from seizing control of Thailand again.🧡🧡🧡🧡🧡🍊🍊🍊🍊🍊"
@TerenceTHNg, @lovedocomo  Support peoples Party for a better Thailand. Especially the young generation. Vote for your future.
@asurpriseguest4966,Not just amend it. We new a NEW fair and reasonable constitution!!! Not this the most crooked and bizarre constitution that the junta government left for the country!
@pisistkulasetthakorn9360, @lovedocomo  It's like children in the playground.
@Veltrona8,Real expats in Thailand usually support reform and the People’s Party. Comments like yours sound more like coordinated IO than someone who actually lives here.
@paulverdon4362, @Veltrona8  define real expat please farang
@paulverdon4362," @Veltrona8  i live in the north east , there not keen on reform, you sound like an expat,"
@usermumimumiii,"I'm a young person from the Northeast, and the older people in this region only hinder the country's progress. The truly unpatriotic party is the one that's currently corrupting the nation. Conservatives wouldn't understand.😭😭"
@WeAreTheSaverofDepths,มึงพูดอะไรของมึง
@Chris-tm4zq,And foreigners should not get involved in  Thai politics. Worry about your own country politics.
@makaranov6923,All the party in Thailand use invading Cambodia for marketing .
@keatkhamjornmeekanon7616,The current People's Party leader lacks charisma.
@keatkhamjornmeekanon7616,The answer is ‘no‘.  They will lose party list votes in the South and many constituency or electorate in Bangkok.
@makaranov6923,"The coup will be happen again in Thailand, that why thai Royal Thai army invaded Cambodia territory to make popularity."
@TheKaMeLRo,Cambodians have enjoyed 40 years of a dictatorship family that uses nationalism to provoke neighboring countries.
@Chris-tm4zq, @TheKaMeLRo Claimbodia loves to kiss Hun Sen ass. That’s why Scambodia believes everything Hun Sen says.
@makaranov6923,​ @TheKaMeLRo   hey thai thief how about your country now 😂 Thailand is sick man of Asia 😂
@Jame444-h5k,"Nothing is more certain than having Hun Sen as Prime Minister, because Hun Sen is getting richer every day, while Cambodia is getting poorer every day, and the country is plagued by crime."
@makaranov6923,​ @Jame444-h5k hey thai how about your country now 😂
@Chris-tm4zq,"Cambodia are ungrateful people. Thailand has help Cambodia out so many times. During the Khmer Rouge regime If it wasn’t for the king mother her majesty Queen SiriKit who let the Khmer refugees into Thailand. And took care and support them. By giving Cambodian a temporary place to stay and providing medical aid.  those Khmer refugees would have died if it wasn’t for Thailand. And what do Cambodian do instead of showing their respect/ appreciation to Thailand and Thais. Cambodia lie,steal, claim land that don’t belong to them. 🇹🇭🇹🇭🇹🇭🇹🇭🇹🇭 https://youtu.be/_JIG0OKuYtw?si=HuAHDfERGLtfTnt_"
@kankaspuma7997,"I want to teach the Cambodian people that their enemy is not Thailand, but the Hun Sen regime. Cambodia has been known as one of the poorest countries in the world since gaining independence from France, and it remains so today, and will continue to be so as long as the Cambodian people remain dumber than people of other nations."
@Baconyu,Some*
@thea6573,So why Cambodian like you not support this party? This party not support the war.
@midum3302,​ @thea6573 😂😂😂😂👍🙏👏👏👏👏👏
@Veltrona8,"Countries aren’t run by charisma. They’re run by competence, integrity, and policies. If charisma was all that mattered, Thailand wouldn’t be in this situation to begin with."
@keatkhamjornmeekanon7616,​ @Veltrona8 Charisma can bring votes. Pita is more charismatic than Nattapong. Human has both rationality and irrationality in combination.
@raunetty,real worry comes from this problematic fact
@arnnerone4819,What a shallow thinking
@keatkhamjornmeekanon7616,"​ @arnnerone4819 Not shallow, man! It's their problem."
@ณภัทร2009,Well let’s hope!
@arnnerone4819,"We'll see, crybaby !"
@avatar_tian9340,Then you are pro-monarchy party.😂😂
@keatkhamjornmeekanon7616,"​​ @avatar_tian9340 I vote for them only in municipal election. After breaking down the polls by constituency or electorate, they will lose huge party-list votes. It means they will lose many seats from the party list, whereas their gain from other regions won't make up for their loss. Moreover, they will lose both constituency and party list in Bangkok. That's huge loss for them."
@Annasupermom12345,"In my view, the People Party’s leadership team, PM and deputy PM candidates included doesn’t match the depth of experience and professionalism shown by Supagee and the seasoned team at Bhumjaithai. Real-world results and track records matter far more than rhetoric or marketing."
@Veltrona8, @Annasupermom12345  I wonder why you keep posting the same message over and over. Do you get paid to do that?
@usermumimumiii," @Annasupermom12345  Why don't those with experience improve the country? Instead, they cause it to decline. Why do they engage in corruption?"
@avatar_tian9340,​ @Annasupermom12345 Don't care. People's Party can lead better than other parties in Thailand.😂😂
@Chris-tm4zq,"Cambodia are ungrateful people. Thailand has help Cambodia out so many times. During the Khmer Rouge regime If it wasn’t for the king mother her majesty Queen SiriKit who let the Khmer refugees into Thailand. And took care and support them. By giving Cambodian a temporary place to stay and providing medical aid.  those Khmer refugees would have died if it wasn’t for Thailand. And what do Cambodian do instead of showing their respect/ appreciation to Thailand and Thais. Cambodia lie,steal, claim land that don’t belong to them. 🇹🇭🇹🇭🇹🇭🇹🇭🇹🇭 https://youtu.be/_JIG0OKuYtw?si=HuAHDfERGLtfTnt_"
@paulverdon4362,"really, how do you know that😂"
@makaranov6923,Thailand has had About 30 coup attempts (successful and failed combined) have occurred since about 1912.
@thea6573,Looks like Cambodia people not happy for this Thai party to stop the war.
@Chris-tm4zq, @thea6573 You mean the war where Claimbodia like to steal land and scam people
