Author,Comment Text
@kauegamerblack7584,Oi
@azasydykov6870,please give me a car mr Beast
@pascalastorgaalegria,Vitesse vs mejor youtuber del mundo mundial En qué país vives tu bebé chiquito cumpleaños en mi cumpleaños falta un mes
@joaolucasxavierrios8654,Oi
@aussie_baller1,Mr beast you're 💪  ceep going
@pablodavid4800,I LOVE YOU MI MORSH
@drastics4394,he knows.
@bobbynewton9702,You are cool jimmy
@AfonsosPhoneCollection,Ha
@supriyagore-gz2du,🖕🏿🖕🏿🖕🏿🖕🏿🖕🏿🖕🏿🖕🏿🖕🏿🖕🏿🖕🏿🖕🏿🖕🏿🖕🏿
@lolokhorshed7808,انت بتجيب الفلوس دى منين 😮😂
@lolokhorshed7808,‏‪1:20‬‏ انا عايزه شويه فلوس ممكن 😂
@ahmedmunaim1821,💙
@anjo3564,Eu falo português mr best 😢
@IoboMoAcIR,😊😊😊😊😊😊😊😊lo
@karlyurbina-i7e,Hola
@hamadahayan,Bak
@sonakshighosh0,Wows💕❤❤
@SuhaniBegum-tg9yz,🎉🎉😂😂
@merftkaadan6214,❤ببال
@cintiapaez1550,Misterio yo soy uno de tus fanes
@cintiapaez1550,Mister videos soy uno de tus fans
@losprosfake,Me siento identificado
@andynovanto,Love you name barraq
@IbrahimBadhon,The world best YouTuber❤❤
@gaellopez6116,❤❤❤
@cookies_conleche,Ño
@1반IN_일반인,.
@Shovodebnath-oe6zs,Can you give me car
@Stendofer3kj,​
@gaelesquivel-cj2tf,I'm a monkey😂😂😂
@Abobys2228,Мииииисааааа бииииист я играю в стамбал гайс
@Fortnitegoat-w8z,Your my favourite youTuber
@user-zaedan62fw5j,makasih Mr bis
@ChonkySlotDonkey,I'd take the island adventure over the castle!
@DeadFly1976,Can you be mystery beast
@JuanMuñoz-u5j,"Jimi.    Un.       Saludo.       Soy.         Jeremi















Un saludo😅"
@Its_Raisyaaaa,"Mr Beat, try going to Indonesia, please"
@arjunsinghbrar-pf1wz,He poops
@MRK.OFFICIAL.07,Bro $2000 give me
@arturo652,Y ustedes cómo lograron viaja por el mundo fue difícil comencé a sus padres porque ya sabe fue un poco difícil convencer mi mamá nunca me deja viajar solo Por qué se preocupa por mí
@arturo652,En qué tengo 19 años y mi mamá nunca lo entiende porque me trata como un niño o como bebé Pon mi seguridad ya sabe cómo son las mamás todo lo que ella hace por sus hijos es por su bien cuando un padre dice no significa no
@arturo652,Es que mi mamá se deja llevar por mi seguridad ella nunca me deja caminar solo de vecindario por qué ella no quiere que yo me pierdo se deja llevar por inseguridad y mi hermana también se deja llevar por mi seguridad también En qué Pone seguro La Apuesta Así que nadie entre y nuca para de agarrarme la mano para cruzar la calle el que quiero cruzar la calle yo solo pero mi hermana Nunca para de agarrarme la mano
@arturo652,Por cierto Cómo se puede conseguir dinero para cantar
@AnivaldaDosSantossouza,J'aime tes tous tes trucs que tu fais je veux j'aime comme tu es abonné
@ubaidraza39,Can you please please help me Mr bestha please
@kamalmunda4976,"$ 1,000,000"
@MamdouhAljarrash,MR.BBBBBBBEEEAASST
@pauldanso-ty2tc,need help
@gaikob1785,🎉you are very magnificent
@gracielasotelo,🎉kew
@gracielasotelo,😢😢😢
@pauldanso-ty2tc,are u gonna help? @gracielasotelo 
@gracielasotelo,Skksm😮
@jirehalfredodiaz4681,MrBst 200M
@ايمنصابرالمنسي,❤❤
@maganilois2738,You are de best
@MVG000,Hello
@celhuawei,LoSquiero mucho
@dewisartika238,J
@อุดมลักษณ์ม,ชุดชช
@memejojo3949,احمدتميم6 كرم. تميم4
@bavoyes,bruh
@mdkawaer2871,আমি একজন বাংলাদেশি আমার হেল্প লাগবে
@Ksssassssss,hola❤❤😮😮😮😊😊👍👍❤️😮😮😧😲
@stefanchristov,🎉🎉🎉🎉
@Myname-xt8dv,Amazing
@hair4three,😂
@adencihanbaysal,Ks❤
@adencihanbaysal,"Skideksk❤❤❤❤❤❤❤❤
❤❤❤❤❤❤❤"
@RubenMejia-br1ll,Quisiera que vengas a Hidalgo
@عبدالله-ج5د8ك,❤❤❤❤❤❤
@햇날-v9l,나
@ประสพชชัยคงศิริ,Yes
@кашак-й4с,мистер биииистт🎉😊😊😊❤
@RehanAhmad-pp2td,Por favor apenas 1000$ eu preciso 😢😔
@christopherwilliams6801,Your the best
@croissantcroissant-d5n,E
@JacobStore,What upppp
@Виктория-г6й,You're super cool❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤:-)❤❤❤❤❤❤❤❤❤❤😊😊
@mrtimmy7715,:face-purple-crying:
@AminAmin-bw5cp,Jekrke
@Tunahan801,"bende 
gelemi"
@kanatkusainov9428,"Я не знал что есть такой канал и про мр.Бист узнал вчера и подписался, очень круто!!!"
@MeteComak-fx2uf,8:27
@MeteComak-fx2uf,Seniseviyom
@MeteComak-fx2uf,Takipettim
@ElbaPoca,Mr vicio fui a que estado hablando ya ya no y del
@ايمنالياسين-ظ3ف,🥰🥰🥰🥰🥰🥰🥰
@MeteComak-fx2uf,Seninle tanışmak istiyorum
@Летушок,Зззззззззз
@TecnoModa-g1e,😮😮Milan
@AndersonDavila-ye3wx,Hola anderson
@SkSk-mr1xx,👍
@WasssWas-sj7pg,100$
@sumayhalimova3728,Опал
@sumayhalimova3728,😢лрла
@NJRINSIGHT,Create for me a challenge @dukeofboisanga
@SkSk-mr1xx,Hi🇧🇩
@JuanAlbertoCamineros,Listo oooooooooooo
@aaryasarogyaahaara,Bro👌
@ChrisVaskez,He visto todos tus videos
@Mimi_on_Paws546,It’s in spanish
@aaryasarogyaahaara,Love you bro 🤗
@Pizzashorts,Alright beast
@nomorehacking8,More comments
@Pizzashorts,MORE COMMENTS
@mohimireang1027,Please bhaiya mere ko thoda madad karo 🥺🥺🥺🥺
@Daryl_masharipow,Omg 🎉
@HerdiRasmadi,🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲❤❤❤❤❤❤❤
@mdSiam-ef5ef,Iam From Bangladesh 🇧🇩
@nelsonleon6923,Me gustaría  participar  en uno de tus juegos soy de perú
@НинаРеут-ц6ъ,Яв беларуси
@Milagro_Roblex-c6j,Ola mitevi 13:49
@Hasirduniya21,Amar ke aponar videote niben  please
@mariadaconsolacao7746,❤😊❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤ bom
@BlancaMorales-m8t,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤ te amo 😍😍😍😍
@andreochoa-dc3un,yo jimmy❤❤🎉
@GodzillaIsW,You know…. You should love cheese
@FredyFrutos,Listo soy Fredy
@FredyFrutos,Me podés escribir ✏️ en español latino
@satyampanday5864,5.00000 lakh mujhko De do
@elidpaalfaro9508,Hola 😢😢😢😢😢
@nixonn6559,Love it
@MariaDeFatima-yi8iy,😡🤬☠😫👺👹😓😈👿☠☠☠☠☠☠☠☠☠☠😡🤬PORA
@IsraaRehimi,Love Mr beast. ❤
@anafernandezarmijo3035,Mister beast tus chocolates no está en Chile
@susanasmawati4080,Foto
